Bezig: 380 sec, ETA: 220 sec, Simulatie: 19500, Validation: 3.3, Beloning: 6, Batch Size 64, Epsilon: 0.05, ID: xffe3781e3, penalty: 0.1, loss: 0.44, aantal experiences: 100000
Bezig: 385 sec, ETA: 215 sec, Simulatie: 19750, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.05, ID: x42, penalty: 0.6, loss: 0.49, aantal experiences: 100000
Bezig: 389 sec, ETA: 211 sec, Simulatie: 20000, Validation: 3.1, Beloning: -1, Batch Size 64, Epsilon: 0.05, ID: xffe3781e2, penalty: 0.3, loss: 0.47, aantal experiences: 100000
Bezig: 394 sec, ETA: 206 sec, Simulatie: 20250, Validation: 3.8, Beloning: 3, Batch Size 64, Epsilon: 0.05, ID: x442, penalty: 0.7, loss: 0.56, aantal experiences: 100000
Bezig: 399 sec, ETA: 201 sec, Simulatie: 20500, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.05, ID: x42, penalty: 0.7, loss: 0.57, aantal experiences: 100000
Bezig: 403 sec, ETA: 197 sec, Simulatie: 20750, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.04, ID: x421, penalty: 0.7, loss: 0.54, aantal experiences: 100000
Bezig: 408 sec, ETA: 192 sec, Simulatie: 21000, Validation: 3.3, Beloning: 1, Batch Size 64, Epsilon: 0.04, ID: xffe3781e2, penalty: 0.2, loss: 0.66, aantal experiences: 100000
Bezig: 412 sec, ETA: 188 sec, Simulatie: 21250, Validation: -0.1, Beloning: -1, Batch Size 64, Epsilon: 0.04, ID: xffe3681e3, penalty: 0.3, loss: 0.54, aantal experiences: 100000
Bezig: 417 sec, ETA: 183 sec, Simulatie: 21500, Validation: 3.4, Beloning: -4, Batch Size 64, Epsilon: 0.04, ID: xffe3781e2, penalty: 0.4, loss: 0.63, aantal experiences: 100000
Bezig: 422 sec, ETA: 178 sec, Simulatie: 21750, Validation: 3.4, Beloning: 1, Batch Size 64, Epsilon: 0.04, ID: xf8412, penalty: 0.6, loss: 0.46, aantal experiences: 100000
Bezig: 427 sec, ETA: 173 sec, Simulatie: 22000, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.04, ID: x242, penalty: 0.7, loss: 0.58, aantal experiences: 100000
Bezig: 432 sec, ETA: 168 sec, Simulatie: 22250, Validation: 1.0, Beloning: -7, Batch Size 64, Epsilon: 0.04, ID: xffe3781e2, penalty: 0.5, loss: 0.51, aantal experiences: 100000
Bezig: 436 sec, ETA: 164 sec, Simulatie: 22500, Validation: 3.4, Beloning: 3, Batch Size 64, Epsilon: 0.03, ID: xc42, penalty: 0.7, loss: 0.71, aantal experiences: 100000
Bezig: 441 sec, ETA: 159 sec, Simulatie: 22750, Validation: 1.7, Beloning: 4, Batch Size 64, Epsilon: 0.03, ID: xffe3781e3, penalty: 0.1, loss: 0.77, aantal experiences: 100000
Bezig: 445 sec, ETA: 155 sec, Simulatie: 23000, Validation: 3.4, Beloning: 4, Batch Size 64, Epsilon: 0.03, ID: x42, penalty: 0.7, loss: 0.67, aantal experiences: 100000
Bezig: 450 sec, ETA: 150 sec, Simulatie: 23250, Validation: 0.1, Beloning: -6, Batch Size 64, Epsilon: 0.03, ID: xffe3781e2, penalty: 0.6, loss: 0.56, aantal experiences: 100000
Bezig: 454 sec, ETA: 146 sec, Simulatie: 23500, Validation: 2.3, Beloning: 5, Batch Size 64, Epsilon: 0.03, ID: xffe3781e3, penalty: 0.2, loss: 0.59, aantal experiences: 100000
