Bezig: 284 sec, ETA: 316 sec, Simulatie: 15500, Validation: 3.8, Cijfer: 3.4, Batch Size 64, Epsilon: 0.1, ID: x2482, penalty: 0.7, loss: 0.21, aantal experiences: 100000
Bezig: 289 sec, ETA: 311 sec, Simulatie: 15750, Validation: 3.7, Cijfer: 2.1, Batch Size 64, Epsilon: 0.09, ID: x4461, penalty: 0.7, loss: 0.18, aantal experiences: 100000
Bezig: 294 sec, ETA: 306 sec, Simulatie: 16000, Validation: 3.6, Cijfer: 2.3, Batch Size 64, Epsilon: 0.09, ID: x8421, penalty: 0.5, loss: 0.18, aantal experiences: 100000
Bezig: 298 sec, ETA: 302 sec, Simulatie: 16250, Validation: 3.6, Cijfer: 3.5, Batch Size 64, Epsilon: 0.09, ID: x44481, penalty: 0.7, loss: 0.23, aantal experiences: 100000
Bezig: 303 sec, ETA: 297 sec, Simulatie: 16500, Validation: 2.8, Cijfer: 5.2, Batch Size 64, Epsilon: 0.08, ID: x2412, penalty: 0.2, loss: 0.19, aantal experiences: 100000
Bezig: 307 sec, ETA: 293 sec, Simulatie: 16750, Validation: 3.6, Cijfer: 3.8, Batch Size 64, Epsilon: 0.08, ID: x112, penalty: 0.7, loss: 0.16, aantal experiences: 100000
Bezig: 312 sec, ETA: 288 sec, Simulatie: 17000, Validation: 3.5, Cijfer: 3.6, Batch Size 64, Epsilon: 0.08, ID: x4412, penalty: 0.3, loss: 0.13, aantal experiences: 100000
Bezig: 316 sec, ETA: 284 sec, Simulatie: 17250, Validation: 2.8, Cijfer: 5.9, Batch Size 64, Epsilon: 0.08, ID: x2412, penalty: 0.3, loss: 0.17, aantal experiences: 100000
Bezig: 321 sec, ETA: 279 sec, Simulatie: 17500, Validation: 3.5, Cijfer: 5.2, Batch Size 64, Epsilon: 0.07, ID: x42412, penalty: 0.1, loss: 0.13, aantal experiences: 100000
Bezig: 325 sec, ETA: 275 sec, Simulatie: 17750, Validation: 2.5, Cijfer: 5.3, Batch Size 64, Epsilon: 0.07, ID: x212, penalty: 0.5, loss: 0.14, aantal experiences: 100000
Bezig: 330 sec, ETA: 270 sec, Simulatie: 18000, Validation: 3.7, Cijfer: 4.6, Batch Size 64, Epsilon: 0.07, ID: x4841, penalty: 0.2, loss: 0.16, aantal experiences: 100000
Bezig: 334 sec, ETA: 266 sec, Simulatie: 18250, Validation: 3.6, Cijfer: 2.5, Batch Size 64, Epsilon: 0.06, ID: x311, penalty: 0.7, loss: 0.24, aantal experiences: 100000
Bezig: 339 sec, ETA: 261 sec, Simulatie: 18500, Validation: 3.3, Cijfer: 2.8, Batch Size 64, Epsilon: 0.06, ID: x2212, penalty: 0.7, loss: 0.17, aantal experiences: 100000
Bezig: 343 sec, ETA: 257 sec, Simulatie: 18750, Validation: 3.6, Cijfer: 4.2, Batch Size 64, Epsilon: 0.06, ID: x22412, penalty: 0.4, loss: 0.18, aantal experiences: 100000
Bezig: 348 sec, ETA: 252 sec, Simulatie: 19000, Validation: 3.6, Cijfer: 1.7, Batch Size 64, Epsilon: 0.06, ID: x2412, penalty: 0.6, loss: 0.16, aantal experiences: 100000
Bezig: 353 sec, ETA: 247 sec, Simulatie: 19250, Validation: 3.6, Cijfer: 4.3, Batch Size 64, Epsilon: 0.06, ID: x242412, penalty: 0.5, loss: 0.16, aantal experiences: 100000
Bezig: 357 sec, ETA: 243 sec, Simulatie: 19500, Validation: 3.6, Cijfer: 2.7, Batch Size 64, Epsilon: 0.05, ID: x2412, penalty: 0.6, loss: 0.12, aantal experiences: 100000
Bezig: 362 sec, ETA: 238 sec, Simulatie: 19750, Validation: 3.7, Cijfer: 3.3, Batch Size 64, Epsilon: 0.05, ID: x2282, penalty: 0.7, loss: 0.16, aantal experiences: 100000
Bezig: 366 sec, ETA: 234 sec, Simulatie: 20000, Validation: 3.6, Cijfer: 5.5, Batch Size 64, Epsilon: 0.05, ID: x82412, penalty: 0.4, loss: 0.17, aantal experiences: 100000
Bezig: 371 sec, ETA: 229 sec, Simulatie: 20250, Validation: 3.7, Cijfer: 4.4, Batch Size 64, Epsilon: 0.05, ID: x212, penalty: 0.3, loss: 0.15, aantal experiences: 100000
Bezig: 376 sec, ETA: 224 sec, Simulatie: 20500, Validation: 3.6, Cijfer: 6.5, Batch Size 64, Epsilon: 0.05, ID: x24182, penalty: 0.1, loss: 0.13, aantal experiences: 100000
Bezig: 380 sec, ETA: 220 sec, Simulatie: 20750, Validation: 3.6, Cijfer: 1.5, Batch Size 64, Epsilon: 0.04, ID: x8412, penalty: 0.7, loss: 0.2, aantal experiences: 100000
Bezig: 385 sec, ETA: 215 sec, Simulatie: 21000, Validation: 3.7, Cijfer: 3.6, Batch Size 64, Epsilon: 0.04, ID: x2841, penalty: 0.7, loss: 0.15, aantal experiences: 100000
Bezig: 390 sec, ETA: 210 sec, Simulatie: 21250, Validation: 3.6, Cijfer: 3.9, Batch Size 64, Epsilon: 0.04, ID: x2212, penalty: 0.6, loss: 0.17, aantal experiences: 100000
Bezig: 394 sec, ETA: 206 sec, Simulatie: 21500, Validation: 3.6, Cijfer: 3.7, Batch Size 64, Epsilon: 0.04, ID: x2412, penalty: 0.5, loss: 0.16, aantal experiences: 100000
Bezig: 399 sec, ETA: 201 sec, Simulatie: 21750, Validation: 3.6, Cijfer: 2.7, Batch Size 64, Epsilon: 0.04, ID: x2412, penalty: 0.4, loss: 0.13, aantal experiences: 100000
Bezig: 404 sec, ETA: 196 sec, Simulatie: 22000, Validation: 3.7, Cijfer: 3.6, Batch Size 64, Epsilon: 0.04, ID: x2482, penalty: 0.3, loss: 0.11, aantal experiences: 100000
Bezig: 408 sec, ETA: 192 sec, Simulatie: 22250, Validation: 3.7, Cijfer: 5.6, Batch Size 64, Epsilon: 0.04, ID: x2842, penalty: 0.1, loss: 0.1, aantal experiences: 100000
Bezig: 413 sec, ETA: 187 sec, Simulatie: 22500, Validation: 3.7, Cijfer: 2.2, Batch Size 64, Epsilon: 0.03, ID: x212, penalty: 0.7, loss: 0.12, aantal experiences: 100000
Bezig: 417 sec, ETA: 183 sec, Simulatie: 22750, Validation: 3.6, Cijfer: 2.5, Batch Size 64, Epsilon: 0.03, ID: x2882, penalty: 0.7, loss: 0.13, aantal experiences: 100000
Bezig: 422 sec, ETA: 178 sec, Simulatie: 23000, Validation: 3.3, Cijfer: 2.9, Batch Size 64, Epsilon: 0.03, ID: x142, penalty: 0.4, loss: 0.15, aantal experiences: 100000
Bezig: 427 sec, ETA: 173 sec, Simulatie: 23250, Validation: 3.7, Cijfer: 3.2, Batch Size 64, Epsilon: 0.03, ID: x212, penalty: 0.7, loss: 0.18, aantal experiences: 100000
Bezig: 431 sec, ETA: 169 sec, Simulatie: 23500, Validation: 3.5, Cijfer: 3.3, Batch Size 64, Epsilon: 0.03, ID: x2112, penalty: 0.8, loss: 0.27, aantal experiences: 100000
Bezig: 436 sec, ETA: 164 sec, Simulatie: 23750, Validation: 3.3, Cijfer: 4.3, Batch Size 64, Epsilon: 0.03, ID: x2412, penalty: 0.4, loss: 0.15, aantal experiences: 100000
Bezig: 440 sec, ETA: 160 sec, Simulatie: 24000, Validation: 3.6, Cijfer: 2.3, Batch Size 64, Epsilon: 0.03, ID: x2681, penalty: 0.5, loss: 0.17, aantal experiences: 100000
Bezig: 445 sec, ETA: 155 sec, Simulatie: 24250, Validation: 3.6, Cijfer: 4.9, Batch Size 64, Epsilon: 0.03, ID: x2412, penalty: 0.2, loss: 0.13, aantal experiences: 100000
Bezig: 450 sec, ETA: 150 sec, Simulatie: 24500, Validation: 3.7, Cijfer: 3.7, Batch Size 64, Epsilon: 0.03, ID: x2821, penalty: 0.5, loss: 0.2, aantal experiences: 100000
Bezig: 454 sec, ETA: 146 sec, Simulatie: 24750, Validation: 3.6, Cijfer: 4.7, Batch Size 64, Epsilon: 0.02, ID: x2412, penalty: 0.4, loss: 0.12, aantal experiences: 100000
Bezig: 459 sec, ETA: 141 sec, Simulatie: 25000, Validation: 3.5, Cijfer: 4.6, Batch Size 64, Epsilon: 0.02, ID: x2412, penalty: 0.2, loss: 0.16, aantal experiences: 100000
Bezig: 463 sec, ETA: 137 sec, Simulatie: 25250, Validation: 3.1, Cijfer: 3.3, Batch Size 64, Epsilon: 0.02, ID: x2882, penalty: 0.8, loss: 0.13, aantal experiences: 100000
Bezig: 468 sec, ETA: 132 sec, Simulatie: 25500, Validation: 3.6, Cijfer: 5.0, Batch Size 64, Epsilon: 0.02, ID: x2412, penalty: 0.2, loss: 0.17, aantal experiences: 100000
Bezig: 473 sec, ETA: 127 sec, Simulatie: 25750, Validation: 3.6, Cijfer: 2.5, Batch Size 64, Epsilon: 0.02, ID: x2412, penalty: 0.5, loss: 0.14, aantal experiences: 100000
Bezig: 477 sec, ETA: 123 sec, Simulatie: 26000, Validation: 3.7, Cijfer: 1.4, Batch Size 64, Epsilon: 0.02, ID: x2842, penalty: 0.7, loss: 0.15, aantal experiences: 100000
Bezig: 482 sec, ETA: 118 sec, Simulatie: 26250, Validation: 3.7, Cijfer: 2.7, Batch Size 64, Epsilon: 0.02, ID: x212, penalty: 0.7, loss: 0.1, aantal experiences: 100000
Bezig: 486 sec, ETA: 114 sec, Simulatie: 26500, Validation: 3.6, Cijfer: 4.4, Batch Size 64, Epsilon: 0.02, ID: x24182, penalty: 0.6, loss: 0.09, aantal experiences: 100000
Bezig: 491 sec, ETA: 109 sec, Simulatie: 26750, Validation: 3.7, Cijfer: 4.3, Batch Size 64, Epsilon: 0.02, ID: x212, penalty: 0.5, loss: 0.17, aantal experiences: 100000
Bezig: 495 sec, ETA: 105 sec, Simulatie: 27000, Validation: 3.6, Cijfer: 3.9, Batch Size 64, Epsilon: 0.02, ID: x2412, penalty: 0.4, loss: 0.12, aantal experiences: 100000
Bezig: 500 sec, ETA: 100 sec, Simulatie: 27250, Validation: 3.7, Cijfer: 5.3, Batch Size 64, Epsilon: 0.02, ID: x212, penalty: 0.3, loss: 0.12, aantal experiences: 100000
Bezig: 505 sec, ETA: 95 sec, Simulatie: 27500, Validation: 3.6, Cijfer: 5.1, Batch Size 64, Epsilon: 0.02, ID: x212, penalty: 0.5, loss: 0.09, aantal experiences: 100000
Bezig: 509 sec, ETA: 91 sec, Simulatie: 27750, Validation: 3.7, Cijfer: 4.3, Batch Size 64, Epsilon: 0.02, ID: x281, penalty: 0.5, loss: 0.09, aantal experiences: 100000
Bezig: 514 sec, ETA: 86 sec, Simulatie: 28000, Validation: 3.7, Cijfer: 3.3, Batch Size 64, Epsilon: 0.01, ID: x211, penalty: 0.7, loss: 0.14, aantal experiences: 100000
Bezig: 518 sec, ETA: 82 sec, Simulatie: 28250, Validation: 3.7, Cijfer: 2.2, Batch Size 64, Epsilon: 0.01, ID: x2112, penalty: 0.7, loss: 0.14, aantal experiences: 100000
Bezig: 523 sec, ETA: 77 sec, Simulatie: 28500, Validation: 3.6, Cijfer: 3.3, Batch Size 64, Epsilon: 0.01, ID: x2111, penalty: 0.7, loss: 0.1, aantal experiences: 100000
Bezig: 527 sec, ETA: 73 sec, Simulatie: 28750, Validation: 3.7, Cijfer: 3.1, Batch Size 64, Epsilon: 0.01, ID: x2112, penalty: 0.7, loss: 0.16, aantal experiences: 100000
Bezig: 532 sec, ETA: 68 sec, Simulatie: 29000, Validation: 3.6, Cijfer: 4.6, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.2, loss: 0.14, aantal experiences: 100000
Bezig: 537 sec, ETA: 63 sec, Simulatie: 29250, Validation: 3.6, Cijfer: 4.2, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.4, loss: 0.17, aantal experiences: 100000
Bezig: 541 sec, ETA: 59 sec, Simulatie: 29500, Validation: 3.7, Cijfer: 3.4, Batch Size 64, Epsilon: 0.01, ID: x212, penalty: 0.7, loss: 0.18, aantal experiences: 100000
Bezig: 546 sec, ETA: 54 sec, Simulatie: 29750, Validation: 3.6, Cijfer: 5.6, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.2, loss: 0.14, aantal experiences: 100000
Bezig: 550 sec, ETA: 50 sec, Simulatie: 30000, Validation: 3.6, Cijfer: 3.8, Batch Size 64, Epsilon: 0.01, ID: x2412, penalty: 0.3, loss: 0.1, aantal experiences: 100000
Bezig: 555 sec, ETA: 45 sec, Simulatie: 30250, Validation: 3.6, Cijfer: 3.6, Batch Size 64, Epsilon: 0.01, ID: x312, penalty: 0.5, loss: 0.16, aantal experiences: 100000
