Bezig: 539 sec, ETA: 61 sec, Simulatie: 27000, Validation: -7.4, Beloning: 0, Batch Size 64, Epsilon: 0.02, ID: xfff2978bc91, penalty: 0.3, loss: 0.31, aantal experiences: 100000
Bezig: 544 sec, ETA: 56 sec, Simulatie: 27250, Validation: -5.9, Beloning: 1, Batch Size 64, Epsilon: 0.02, ID: xfff8d41d11, penalty: 0.2, loss: 0.38, aantal experiences: 100000
Bezig: 549 sec, ETA: 51 sec, Simulatie: 27500, Validation: -5.9, Beloning: 0, Batch Size 64, Epsilon: 0.02, ID: xfbf1d817413, penalty: 0.2, loss: 0.31, aantal experiences: 100000
Bezig: 554 sec, ETA: 46 sec, Simulatie: 27750, Validation: -5.9, Beloning: -4, Batch Size 64, Epsilon: 0.02, ID: xfdf474943, penalty: 0.5, loss: 0.3, aantal experiences: 100000
Bezig: 559 sec, ETA: 41 sec, Simulatie: 28000, Validation: -5.9, Beloning: -3, Batch Size 64, Epsilon: 0.01, ID: xfff41b55125, penalty: 0.4, loss: 0.4, aantal experiences: 100000
Bezig: 564 sec, ETA: 36 sec, Simulatie: 28250, Validation: -5.9, Beloning: -4, Batch Size 64, Epsilon: 0.01, ID: xfff8321b485, penalty: 0.5, loss: 0.39, aantal experiences: 100000
Bezig: 569 sec, ETA: 31 sec, Simulatie: 28500, Validation: -7.4, Beloning: -4, Batch Size 64, Epsilon: 0.01, ID: xf8883158, penalty: 0.7, loss: 0.46, aantal experiences: 100000
Bezig: 574 sec, ETA: 26 sec, Simulatie: 28750, Validation: -7.4, Beloning: -6, Batch Size 64, Epsilon: 0.01, ID: xfff4433d, penalty: 0.6, loss: 0.52, aantal experiences: 100000
Bezig: 579 sec, ETA: 21 sec, Simulatie: 29000, Validation: -7.4, Beloning: 0, Batch Size 64, Epsilon: 0.01, ID: xfff1dc388b53, penalty: 0.3, loss: 0.36, aantal experiences: 100000
Bezig: 584 sec, ETA: 16 sec, Simulatie: 29250, Validation: -7.4, Beloning: -5, Batch Size 64, Epsilon: 0.01, ID: xfff5395195, penalty: 0.5, loss: 0.51, aantal experiences: 100000
Bezig: 589 sec, ETA: 11 sec, Simulatie: 29500, Validation: -7.4, Beloning: -8, Batch Size 64, Epsilon: 0.01, ID: xfff31d, penalty: 0.7, loss: 0.49, aantal experiences: 100000
Bezig: 594 sec, ETA: 6 sec, Simulatie: 29750, Validation: -5.9, Beloning: -2, Batch Size 64, Epsilon: 0.01, ID: xfff271123, penalty: 0.4, loss: 0.36, aantal experiences: 100000
Bezig: 599 sec, ETA: 1 sec, Simulatie: 30000, Validation: -7.4, Beloning: 3, Batch Size 64, Epsilon: 0.01, ID: xfff791351, penalty: 0.2, loss: 0.35, aantal experiences: 100000
Bezig: 604 sec, ETA: -4 sec, Simulatie: 30250, Validation: -5.9, Beloning: -5, Batch Size 64, Epsilon: 0.01, ID: xfff81d499, penalty: 0.5, loss: 0.53, aantal experiences: 100000
