Bezig: 372 sec, ETA: 676 sec, Simulatie: 17750, Validation: 3.8, Cijfer: 4.4, Batch Size 64, Epsilon: 0.07, ID: x222, penalty: 0.6, loss: 0.18, aantal experiences: 100000
Bezig: 377 sec, ETA: 671 sec, Simulatie: 18000, Validation: 3.8, Cijfer: 3.4, Batch Size 64, Epsilon: 0.07, ID: x2141, penalty: 0.5, loss: 0.19, aantal experiences: 100000
Bezig: 382 sec, ETA: 665 sec, Simulatie: 18250, Validation: 3.5, Cijfer: 3.3, Batch Size 64, Epsilon: 0.06, ID: x24, penalty: 0.6, loss: 0.17, aantal experiences: 100000
Bezig: 387 sec, ETA: 659 sec, Simulatie: 18500, Validation: 3.6, Cijfer: 3.0, Batch Size 64, Epsilon: 0.06, ID: x4922913, penalty: 0.5, loss: 0.16, aantal experiences: 100000
Bezig: 392 sec, ETA: 654 sec, Simulatie: 18750, Validation: 3.8, Cijfer: 3.6, Batch Size 64, Epsilon: 0.06, ID: x21, penalty: 0.2, loss: 0.21, aantal experiences: 100000
Bezig: 397 sec, ETA: 648 sec, Simulatie: 19000, Validation: 2.7, Cijfer: 2.5, Batch Size 64, Epsilon: 0.06, ID: x121, penalty: 0.7, loss: 0.2, aantal experiences: 100000
Bezig: 402 sec, ETA: 642 sec, Simulatie: 19250, Validation: 3.4, Cijfer: 3.9, Batch Size 64, Epsilon: 0.06, ID: x8411b, penalty: 0.4, loss: 0.18, aantal experiences: 100000
Bezig: 407 sec, ETA: 637 sec, Simulatie: 19500, Validation: 3.8, Cijfer: 3.8, Batch Size 64, Epsilon: 0.05, ID: x42, penalty: 0.7, loss: 0.23, aantal experiences: 100000
Bezig: 412 sec, ETA: 631 sec, Simulatie: 19750, Validation: 3.1, Cijfer: 1.7, Batch Size 64, Epsilon: 0.05, ID: x422, penalty: 0.5, loss: 0.25, aantal experiences: 100000
Bezig: 417 sec, ETA: 625 sec, Simulatie: 20000, Validation: 3.4, Cijfer: 5.1, Batch Size 64, Epsilon: 0.05, ID: x8113, penalty: 0.5, loss: 0.28, aantal experiences: 100000
Bezig: 422 sec, ETA: 620 sec, Simulatie: 20250, Validation: 3.6, Cijfer: 4.9, Batch Size 64, Epsilon: 0.05, ID: x4118d, penalty: 0.4, loss: 0.38, aantal experiences: 100000
Bezig: 427 sec, ETA: 614 sec, Simulatie: 20500, Validation: 3.3, Cijfer: 4.5, Batch Size 64, Epsilon: 0.05, ID: x81, penalty: 0.7, loss: 0.3, aantal experiences: 100000
Bezig: 432 sec, ETA: 608 sec, Simulatie: 20750, Validation: 3.5, Cijfer: 3.8, Batch Size 64, Epsilon: 0.04, ID: x4885d, penalty: 0.5, loss: 0.19, aantal experiences: 100000
Bezig: 437 sec, ETA: 603 sec, Simulatie: 21000, Validation: 2.3, Cijfer: 3.7, Batch Size 64, Epsilon: 0.04, ID: x82, penalty: 0.8, loss: 0.22, aantal experiences: 100000
Bezig: 442 sec, ETA: 597 sec, Simulatie: 21250, Validation: 3.6, Cijfer: 2.9, Batch Size 64, Epsilon: 0.04, ID: x1877, penalty: 0.5, loss: 0.24, aantal experiences: 100000
Bezig: 447 sec, ETA: 592 sec, Simulatie: 21500, Validation: 1.6, Cijfer: 3.8, Batch Size 64, Epsilon: 0.04, ID: x421, penalty: 0.4, loss: 0.32, aantal experiences: 100000
Bezig: 451 sec, ETA: 586 sec, Simulatie: 21750, Validation: 3.3, Cijfer: 3.1, Batch Size 64, Epsilon: 0.04, ID: x24, penalty: 0.5, loss: 0.18, aantal experiences: 100000
Bezig: 456 sec, ETA: 581 sec, Simulatie: 22000, Validation: 3.3, Cijfer: 1.9, Batch Size 64, Epsilon: 0.04, ID: x128, penalty: 0.3, loss: 0.22, aantal experiences: 100000
Bezig: 461 sec, ETA: 575 sec, Simulatie: 22250, Validation: 3.3, Cijfer: 4.9, Batch Size 64, Epsilon: 0.04, ID: x82, penalty: 0.7, loss: 0.17, aantal experiences: 100000
Bezig: 466 sec, ETA: 570 sec, Simulatie: 22500, Validation: 2.2, Cijfer: 3.8, Batch Size 64, Epsilon: 0.03, ID: x487, penalty: 0.3, loss: 0.15, aantal experiences: 100000
Bezig: 471 sec, ETA: 565 sec, Simulatie: 22750, Validation: 3.3, Cijfer: 6.5, Batch Size 64, Epsilon: 0.03, ID: x136b, penalty: 0.2, loss: 0.39, aantal experiences: 100000
Bezig: 476 sec, ETA: 559 sec, Simulatie: 23000, Validation: 3.5, Cijfer: 0.9, Batch Size 64, Epsilon: 0.03, ID: x48, penalty: 0.7, loss: 0.37, aantal experiences: 100000
Bezig: 481 sec, ETA: 554 sec, Simulatie: 23250, Validation: 3.4, Cijfer: 3.6, Batch Size 64, Epsilon: 0.03, ID: x11, penalty: 0.6, loss: 0.31, aantal experiences: 100000
Bezig: 486 sec, ETA: 548 sec, Simulatie: 23500, Validation: 3.6, Cijfer: 4.0, Batch Size 64, Epsilon: 0.03, ID: x8211b, penalty: 0.1, loss: 0.36, aantal experiences: 100000
Bezig: 491 sec, ETA: 543 sec, Simulatie: 23750, Validation: 3.6, Cijfer: 3.0, Batch Size 64, Epsilon: 0.03, ID: x8117, penalty: 0.8, loss: 0.33, aantal experiences: 100000
Bezig: 496 sec, ETA: 538 sec, Simulatie: 24000, Validation: 3.3, Cijfer: 6.4, Batch Size 64, Epsilon: 0.03, ID: xd24514213, penalty: 0.1, loss: 0.38, aantal experiences: 100000
Bezig: 501 sec, ETA: 532 sec, Simulatie: 24250, Validation: 3.3, Cijfer: 3.9, Batch Size 64, Epsilon: 0.03, ID: x8242, penalty: 0.2, loss: 0.22, aantal experiences: 100000
Bezig: 506 sec, ETA: 527 sec, Simulatie: 24500, Validation: 3.4, Cijfer: 5.6, Batch Size 64, Epsilon: 0.03, ID: x1187, penalty: 0.1, loss: 0.26, aantal experiences: 100000
Bezig: 511 sec, ETA: 521 sec, Simulatie: 24750, Validation: 3.1, Cijfer: 2.6, Batch Size 64, Epsilon: 0.02, ID: x4, penalty: 0.6, loss: 0.25, aantal experiences: 100000
Bezig: 516 sec, ETA: 516 sec, Simulatie: 25000, Validation: 3.3, Cijfer: 3.0, Batch Size 64, Epsilon: 0.02, ID: x181, penalty: 0.6, loss: 0.22, aantal experiences: 100000
Bezig: 521 sec, ETA: 511 sec, Simulatie: 25250, Validation: 3.8, Cijfer: 3.5, Batch Size 64, Epsilon: 0.02, ID: x4211, penalty: 0.5, loss: 0.29, aantal experiences: 100000
Bezig: 526 sec, ETA: 505 sec, Simulatie: 25500, Validation: 3.8, Cijfer: 4.9, Batch Size 64, Epsilon: 0.02, ID: x8513, penalty: 0.2, loss: 0.25, aantal experiences: 100000
Bezig: 531 sec, ETA: 500 sec, Simulatie: 25750, Validation: 3.8, Cijfer: 4.1, Batch Size 64, Epsilon: 0.02, ID: x4285, penalty: 0.6, loss: 0.22, aantal experiences: 100000
Bezig: 536 sec, ETA: 495 sec, Simulatie: 26000, Validation: 3.5, Cijfer: 2.8, Batch Size 64, Epsilon: 0.02, ID: x141, penalty: 0.4, loss: 0.22, aantal experiences: 100000
Bezig: 541 sec, ETA: 489 sec, Simulatie: 26250, Validation: 4.0, Cijfer: 6.0, Batch Size 64, Epsilon: 0.02, ID: x282, penalty: 0.2, loss: 0.28, aantal experiences: 100000
Bezig: 546 sec, ETA: 484 sec, Simulatie: 26500, Validation: 3.4, Cijfer: 2.2, Batch Size 64, Epsilon: 0.02, ID: x284, penalty: 0.8, loss: 0.23, aantal experiences: 100000
Bezig: 551 sec, ETA: 479 sec, Simulatie: 26750, Validation: 3.8, Cijfer: 6.6, Batch Size 64, Epsilon: 0.02, ID: x1111, penalty: 0.3, loss: 0.19, aantal experiences: 100000
Bezig: 556 sec, ETA: 473 sec, Simulatie: 27000, Validation: 3.4, Cijfer: 4.7, Batch Size 64, Epsilon: 0.02, ID: x2111, penalty: 0.5, loss: 0.17, aantal experiences: 100000
Bezig: 561 sec, ETA: 468 sec, Simulatie: 27250, Validation: 3.8, Cijfer: 6.1, Batch Size 64, Epsilon: 0.02, ID: x1282, penalty: 0.1, loss: 0.2, aantal experiences: 100000
Bezig: 566 sec, ETA: 463 sec, Simulatie: 27500, Validation: 3.8, Cijfer: 4.3, Batch Size 64, Epsilon: 0.02, ID: x813d, penalty: 0.1, loss: 0.2, aantal experiences: 100000
Bezig: 571 sec, ETA: 457 sec, Simulatie: 27750, Validation: 3.6, Cijfer: 2.8, Batch Size 64, Epsilon: 0.02, ID: x119d, penalty: 0.5, loss: 0.18, aantal experiences: 100000
Bezig: 575 sec, ETA: 452 sec, Simulatie: 28000, Validation: 3.4, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x411, penalty: 0.5, loss: 0.2, aantal experiences: 100000
Bezig: 581 sec, ETA: 447 sec, Simulatie: 28250, Validation: 3.4, Cijfer: 4.2, Batch Size 64, Epsilon: 0.01, ID: x4215, penalty: 0.3, loss: 0.2, aantal experiences: 100000
Bezig: 585 sec, ETA: 442 sec, Simulatie: 28500, Validation: 3.6, Cijfer: 2.0, Batch Size 64, Epsilon: 0.01, ID: x113, penalty: 0.7, loss: 0.19, aantal experiences: 100000
Bezig: 590 sec, ETA: 436 sec, Simulatie: 28750, Validation: 3.4, Cijfer: 4.3, Batch Size 64, Epsilon: 0.01, ID: x415, penalty: 0.2, loss: 0.2, aantal experiences: 100000
Bezig: 595 sec, ETA: 431 sec, Simulatie: 29000, Validation: 3.5, Cijfer: 4.6, Batch Size 64, Epsilon: 0.01, ID: x4117, penalty: 0.6, loss: 0.17, aantal experiences: 100000
Bezig: 600 sec, ETA: 426 sec, Simulatie: 29250, Validation: 3.4, Cijfer: 5.2, Batch Size 64, Epsilon: 0.01, ID: x187, penalty: 0.3, loss: 0.21, aantal experiences: 100000
Bezig: 605 sec, ETA: 421 sec, Simulatie: 29500, Validation: 3.3, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x121, penalty: 0.2, loss: 0.19, aantal experiences: 100000
Bezig: 610 sec, ETA: 415 sec, Simulatie: 29750, Validation: 3.6, Cijfer: 3.2, Batch Size 64, Epsilon: 0.01, ID: x1145, penalty: 0.7, loss: 0.14, aantal experiences: 100000
Bezig: 615 sec, ETA: 410 sec, Simulatie: 30000, Validation: 3.5, Cijfer: 3.7, Batch Size 64, Epsilon: 0.01, ID: x1157, penalty: 0.5, loss: 0.12, aantal experiences: 100000
Bezig: 620 sec, ETA: 405 sec, Simulatie: 30250, Validation: 3.3, Cijfer: 4.8, Batch Size 64, Epsilon: 0.01, ID: x419, penalty: 0.4, loss: 0.15, aantal experiences: 100000
Bezig: 625 sec, ETA: 400 sec, Simulatie: 30500, Validation: 3.3, Cijfer: 2.4, Batch Size 64, Epsilon: 0.01, ID: x1, penalty: 0.3, loss: 0.17, aantal experiences: 100000
